Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 16:50:40.081,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.785, -0.015, 0.991, -0.108, 2.258, -0.61, 0, , , , , , , 1.269, -0.335, 106.128, 9.793, -66.613, 8.127, 29.58, 0.40369, 0.44479, 0.59866, 0.52979,
 16:50:40.140,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.635, 0.218, 0.972, 0.087, 0, 0, 0, , , , , , , 0.912, 0.445, -14.98, -21.820, -37.073, -50.687, 28.89, 0.73831, 0.65253, -0.16882, -0.02185,
 16:50:40.140,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.825, 0.119, 0.952, -0.223, 0, 0, 0, , , , , , , -2.466, 1.901, 159.802, 0.767, -30.473, 20.480, 27.77, 0.0629, 0.17316, 0.76282, 0.61975,
 16:50:40.171,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.785, -0.017, 0.989, -0.112, 3.662, -1.526, 0, , , , , , , 1.686, -0.33, 106.029, 9.793, -66.613, 8.127, 29.58, 0.40369, 0.44479, 0.59866, 0.52979,
 16:50:40.230,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.825, 0.117, 0.95, -0.219, 0, 0, 0, , , , , , , -2.461, 1.901, 159.785, 0.767, -30.473, 20.480, 27.77, 0.0629, 0.17316, 0.76282, 0.61975,
 16:50:40.230,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.635, 0.215, 0.97, 0.085, 0, 0, 0, , , , , , , 0.923, 0.445, -14.969, -21.800, -37.033, -52.180, 28.89, 0.73831, 0.65253, -0.16882, -0.02185,
 16:50:40.292,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:58.785, -0.021, 0.99, -0.122, 3.723, 0.366, 0, , , , , , , 2.027, -0.324, 106.024, 9.480, -67.913, 7.900, 29.58, 0.3999, 0.44855, 0.60355, 0.5239,
 16:50:40.349,fe:77:90:13:0e:6b, 2015-01-01 00:29:00.825, 0.121, 0.948, -0.226, 0, 0, 0, , , , , , , -2.461, 1.895, 159.774, 0.527, -31.007, 20.927, 27.77, 0.0629, 0.17316, 0.76282, 0.61975,
 16:50:40.382,ea:e4:fd:d7:dc:2a, 2015-01-01 00:28:59.145, -0.02, 0.988, -0.126, 2.258, 0.122, 0, , , , , , , 2.076, -0.308, 106.122, 9.480, -67.913, 7.900, 29.58, 0.3999, 0.44855, 0.60355, 0.5239,
 16:50:40.411,cd:75:20:e1:ef:ef, 2015-01-01 00:28:59.635, 0.216, 0.973, 0.084, 0, 0, 0, , , , , , , 0.923, 0.45, -14.963, -21.800, -37.033, -52.180, 28.89, 0.73825, 0.65274, -0.16824, -0.02179,
